Model,Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category,Category_name
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,0.201999999999999,0.238,0.2679,0.2951,0.3214,0.3512,0.3815,0.4091,0.4392,0.4695,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,0.2032,0.2448,0.2952,0.3519,0.4162,0.4903,0.5718,0.6567000000000001,0.7431,0.8310000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,0.2032,0.2448,0.2933,0.3444,0.3942,0.4402,0.512,0.5884,0.6662,0.7319,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,0.2033,0.2454,0.2923,0.3369,0.3791,0.4299,0.4801,0.5299,0.5828,0.6395000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,0.2035,0.2457,0.2963,0.3532,0.4178,0.4921,0.5740000000000001,0.6592,0.7465,0.8353,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,0.2035,0.2457,0.2963,0.3478,0.3999,0.4673000000000001,0.545,0.6264000000000001,0.7094,0.7941,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,0.2036,0.2459,0.2955,0.3464,0.4007,0.4586,0.5165000000000001,0.5786,0.6462,0.7199,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,0.2035,0.2457,0.2963,0.3532,0.4178,0.4921,0.5740000000000001,0.6592,0.7464000000000001,0.8347,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,0.2035,0.2457,0.2961,0.3467,0.3957,0.4527000000000001,0.5278,0.6067,0.6874,0.7693,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,0.2036,0.2459,0.2955,0.3464,0.4007,0.4586,0.5165000000000001,0.5786,0.6462,0.7199,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,0.2035,0.2457,0.2963,0.3532,0.4178,0.4921,0.5740000000000001,0.6592,0.7465,0.8349000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,0.2035,0.2457,0.2963,0.3476,0.3989,0.4655,0.5426,0.6236,0.7064,0.7871,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,0.2036,0.2459,0.2955,0.3464,0.4002,0.4572,0.514,0.5747,0.6417,0.7147,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,0.2035,0.2459,0.2966,0.3536,0.4182,0.4926,0.5746,0.6599,0.7468,0.8349000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,0.2035,0.2459,0.2966,0.3492,0.4003,0.4675,0.5449,0.626,0.7089000000000001,0.7839,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,0.2036,0.2459,0.2961,0.3484,0.4027,0.4644,0.5276000000000001,0.5888,0.6576000000000001,0.7311000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,0.2035,0.2457,0.2963,0.3532,0.4178,0.4921,0.5740000000000001,0.6592,0.7465,0.8348,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,0.2035,0.2457,0.2961,0.3469,0.3982,0.465,0.5423,0.6232,0.706,0.7903,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,0.2036,0.2459,0.2954,0.346,0.3988,0.4558,0.5132,0.5747,0.6418,0.7148,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,0.2035,0.2456,0.2963,0.3531,0.4177,0.4920000000000001,0.5739000000000001,0.6591,0.7464000000000001,0.8354,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,0.2035,0.2456,0.2955,0.3459,0.397,0.4564,0.5324,0.6118,0.6930000000000001,0.775,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,0.2036,0.2459,0.2953,0.3454,0.3977,0.4546,0.5119,0.5732,0.6401,0.7125,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,0.2035,0.2459,0.2966,0.3535,0.4111,0.484,0.5643,0.6477,0.7329,0.8183,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,0.2035,0.2459,0.2961,0.3444,0.3779999999999989,0.4162,0.4828,0.5546,0.6229,0.677,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,0.2036,0.2458,0.296,0.3469,0.3997,0.4598,0.5163,0.5747,0.6407,0.7119000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,0.201,0.2358,0.2837,0.3376,0.3829,0.4444,0.5081,0.5645,0.5992000000000001,0.6228,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,0.201,0.2358,0.2733,0.3142,0.2787,0.2706,0.3024,0.3313,0.3456,0.3496,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,0.2011,0.2368,0.2639,0.2879,0.3056,0.3267,0.3463,0.3607,0.3722,0.3797,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-19,0.2034,0.2424,0.2925,0.3548,0.4172,0.4944,0.5726,0.6395000000000001,0.6944,0.7371000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP1-26,0.2034,0.2425,0.2831,0.3363,0.3601,0.4112,0.4766,0.5305,0.5709000000000001,0.594,C3,C3: limit warming to 2°C (>67%)
AIM/CGE 2.0,SSP1-34,0.2034,0.2425,0.2587,0.2538,0.2531,0.2936,0.3394,0.379,0.4092,0.4293,C5,C5: limit warming to 2.5°C (>50%)
AIM/CGE 2.0,SSP1-45,0.2034,0.2443,0.2471,0.2278,0.2176,0.2416,0.2753,0.3056,0.3314,0.3522,C6,C6: limit warming to 3°C (>50%)
AIM/CGE 2.0,SSP1-Baseline,0.2035,0.2461,0.2818,0.2837,0.2749,0.2869,0.3016,0.3212,0.3407,0.3557,C7,C7: limit warming to 4°C (>50%)
AIM/CGE 2.0,SSP2-19,0.2036,0.2453,0.2958,0.3526,0.417,0.4912,0.5729000000000001,0.6579,0.7449,0.8337,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-26,0.2037,0.2453,0.2959,0.3501,0.403999999999999,0.4734,0.5522,0.6344000000000001,0.7184,0.8038000000000001,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-34,0.2037,0.2453,0.2929,0.3394,0.3868,0.4284,0.4957,0.5698,0.6458,0.7236,failed-vetting,failed-vetting
AIM/CGE 2.0,SSP2-45,0.2037,0.2453,0.2745,0.2893,0.2983,0.3446,0.4008000000000001,0.4601,0.521,0.5834,failed-vetting,failed-vetting
