2020,2030,2040,2050,2060,2070,2080,2090,2100,Cluster
52778.35739083995,48126.44149147164,42003.4060383138,35685.52261621241,29269.30244245689,23731.52993161546,19638.64872158845,16740.166399446152,14610.66938446971,1
52018.88955371035,55876.29904384824,57975.5521805617,53255.7381247033,47467.30065174828,41005.8407500513,35205.63821053598,30248.56328542541,26898.48411138685,1
59194.18442475166,50964.3451493344,43813.96848534852,35886.01488106434,29281.509040076784,23220.361850979283,19174.19297334334,15763.821330243178,13155.468006033783,1
59147.084357356034,59826.18605712437,60078.27198722945,53194.11590750595,45569.19642108505,39634.898849122015,33858.19189545893,28945.90493079827,24588.853037054352,1
59062.10223862874,55881.32168287843,36112.50407906768,30370.514644861567,20861.523334844267,9591.57689497077,1775.0179945475645,1953.9335648004624,2084.2695420455307,1
59063.92894624159,55860.78860035129,37496.78869684925,32165.542733662085,24562.14860225084,12098.078493837063,8140.670264468902,8326.60541235719,8443.584782279999,1
59060.98449147985,55858.12145153597,39715.43063587073,34513.16864733066,27583.49193464406,16165.466970529,6528.760402453234,1956.010036281304,2116.744395376352,1
59063.92894624159,55857.67470824565,41272.32116922483,35865.23648978716,29238.198962989733,18777.89811025051,8398.490012140226,8353.700557220693,8471.227329470385,1
59063.92894624159,55857.67470824565,42795.4022824104,37144.40863192368,30841.532525047045,21418.89951622821,10280.951157115416,5197.9487971515055,5296.387591034304,1
59063.92894624159,55857.67470824565,45043.40972971508,39180.64037264008,33455.677563794445,25001.96128665899,13697.239303955796,9026.264787312572,9144.409772658975,1
59063.92894624159,55857.67470824565,45043.40972971508,39180.64037264008,33455.677563794445,25001.96128665899,13697.239303955796,9026.264787312572,9144.409772658975,1
59232.99184055899,57287.3800038191,53583.49971415551,48033.46165731114,42147.33829349773,37060.76238267972,32301.80067409464,28288.55114169552,24849.38692754566,1
59062.10223862874,40738.77790406664,36756.81532160472,29979.31910118359,21927.636215067363,10804.27591299639,3043.292727031746,-2025.1082817726444,-2374.7878214231205,1
59063.92894624159,40258.21487079968,36267.26473179679,29407.75133695521,20862.61138110419,10058.425467790745,8094.614627889763,8278.440346071711,8392.518999513319,1
59060.98449147985,42855.01782641177,38921.06364710774,32524.28906497625,25800.357051893847,14977.848843840318,6035.009302861642,937.3657534577264,701.3451260647956,1
59063.92894624159,43453.60787058088,39577.38025820164,33306.65474834363,26740.445255849805,16434.56343745547,8117.376265404567,8312.571944665075,8433.422719442337,1
59060.98449147985,44445.128363795,40536.94062164586,34453.56063764701,28154.69980895712,18700.91540942429,8728.075536946253,3800.973858891936,3825.1308808978224,1
59063.92894624159,46394.77249071401,42409.94478387421,36689.46109644308,31014.22381083612,23096.296175810927,12332.350909571467,8356.852496291973,8474.443322466715,1
59063.92894624159,46394.77249071401,42409.94478387421,36689.46109644308,31014.22381083612,23096.296175810927,12332.350909571467,7637.025920920273,7751.030710453822,1
59063.92894624159,47831.57553234156,43918.58520383938,38487.50052182018,33298.39464007479,25782.78810221337,15391.144656535467,11410.59201661806,11536.62802240943,1
59063.92894624159,47831.57553234156,43918.58520383938,38487.50052182018,33298.39464007479,25782.78810221337,15391.144656535467,11410.59201661806,11536.62802240943,1
59056.227150292,35910.69546619116,30041.78206637684,22034.188028553508,10614.277098808348,2619.9661704123414,-2291.1097704734666,-2553.375035758628,-2392.6321542381747,1
59056.227150292,37135.04385746551,32025.69208034924,24371.79509827624,13244.907521988423,4543.330386115897,-1380.474667971409,-2567.3589829784287,-2384.614914257185,1
59063.71594497679,38310.66975285448,33646.91468264948,26336.517723731013,16069.839794216194,6594.67447034233,-13.09763339465676,-2603.7918046976506,-2389.077516921555,1
59063.71594497679,39565.08443509045,35279.80702868306,28237.40101791312,18859.112579496803,8631.728857243335,1469.0129658012715,-2615.755984836004,-2377.979662501324,1
58232.14450112276,57927.74570431528,59283.83626352029,51553.40990303873,44702.38381516261,39613.41589093661,34566.63714942077,30129.75826185609,26104.26246621501,1
58226.913401973405,47956.204577240685,42159.62593496166,35540.50314466566,29544.24270066548,24083.23758842013,20630.79213371628,17755.185070186926,15609.518665361731,1
53876.57304293799,46790.82213499847,38575.90496341462,29009.630298832988,17865.74380160065,5389.0349787319,-3232.5618204003204,-7704.399669446999,-8367.603972336,1
53876.572947706,51242.78074952117,38350.39652293065,28222.94820165868,17381.77233945282,5131.85958046933,-3754.07433680842,-7795.246994018048,-8555.561942917651,1
54259.70160860499,38882.1124595662,36741.79477216221,25888.38200021943,18120.115863560408,9727.58580631844,364.812546176129,-5751.363973927471,-6497.362011063311,1
53854.81600671959,51290.43460337238,43225.07963666586,37672.2040410932,26856.50771046508,14395.94207163606,1428.6470335345591,-7083.11430818158,-8100.163321729939,1
54126.63325771767,52076.80970692108,40613.94860708264,32341.00344245006,22187.00485219583,14577.28688421,9291.33811927064,8698.88850021498,8116.2046363521795,1
