,Model,Scenario
578,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f_COV
581,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f
582,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f_COV
612,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50
614,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50
616,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50
618,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50
619,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100
622,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50
623,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80
630,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50
632,POLES ADVANCE,ADVANCE_2020_Med2C
637,POLES ADVANCE,ADVANCE_2030_WB2C
661,POLES EMF33,EMF33_tax_hi_full
662,POLES EMF33,EMF33_tax_hi_none
669,POLES ENGAGE,EN_INDCi2030_1000f
670,POLES ENGAGE,EN_INDCi2030_1000f_COV
671,POLES ENGAGE,EN_INDCi2030_1000f_COV_NDCp
672,POLES ENGAGE,EN_INDCi2030_1000f_NDCp
674,POLES ENGAGE,EN_INDCi2030_1200f
687,POLES ENGAGE,EN_INDCi2030_300f
688,POLES ENGAGE,EN_INDCi2030_400f
689,POLES ENGAGE,EN_INDCi2030_500f
690,POLES ENGAGE,EN_INDCi2030_600f
691,POLES ENGAGE,EN_INDCi2030_600f_COV
692,POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp
693,POLES ENGAGE,EN_INDCi2030_600f_NDCp
694,POLES ENGAGE,EN_INDCi2030_700f
695,POLES ENGAGE,EN_INDCi2030_800f
697,POLES ENGAGE,EN_INDCi2030_900f
704,POLES ENGAGE,EN_NPi2020_1000f
705,POLES ENGAGE,EN_NPi2020_1000f_COV
707,POLES ENGAGE,EN_NPi2020_1200f
736,POLES GECO2019,CO_2Deg2030
739,POLES GECO2019,CO_Bridge_notax
757,REMIND 1.6,EMF30_Slower-to-faster
758,REMIND 1.6,EMF30_Slower-to-faster+SLCF
759,REMIND 1.6,EMF30_Slower-to-faster+SLCF+HFC
764,REMIND 1.7,ADVANCE_2030_Med2C
774,REMIND 1.7,CEMICS-2.0-CDR20
780,REMIND 2.1,CEMICS_HotellingConst_2C
798,REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50
842,REMIND-MAgPIE 1.5,SSP1-26
847,REMIND-MAgPIE 1.5,SSP2-26
853,REMIND-MAgPIE 1.5,SSP5-26
859,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600
865,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600
879,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100
883,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel
885,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100
886,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full
891,REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full
950,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f
951,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f
952,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f
955,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f
956,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV
957,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp
958,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp
960,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f
962,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f
977,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600
978,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600f
1045,TIAM-ECN 1.1,EN_INDCi2030_1000f
1046,TIAM-ECN 1.1,EN_INDCi2030_1000f_COV
1047,TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp
1049,TIAM-ECN 1.1,EN_INDCi2030_1200f
1050,TIAM-ECN 1.1,EN_INDCi2030_1400
1051,TIAM-ECN 1.1,EN_INDCi2030_1400f
1052,TIAM-ECN 1.1,EN_INDCi2030_1600
1061,TIAM-ECN 1.1,EN_INDCi2030_900f
1067,TIAM-ECN 1.1,EN_NPi2020_1000f
1068,TIAM-ECN 1.1,EN_NPi2020_1000f_COV
1070,TIAM-ECN 1.1,EN_NPi2020_1200f
1071,TIAM-ECN 1.1,EN_NPi2020_1400
1072,TIAM-ECN 1.1,EN_NPi2020_1400f
1073,TIAM-ECN 1.1,EN_NPi2020_1600
1082,TIAM-ECN 1.1,EN_NPi2020_800f
1084,TIAM-ECN 1.1,EN_NPi2020_900f
1092,WITCH 5.0,CO_2Deg2030
1101,WITCH 5.0,EN_INDCi2030_1000f
1102,WITCH 5.0,EN_INDCi2030_1000f_NDCp
1103,WITCH 5.0,EN_INDCi2030_1200
1104,WITCH 5.0,EN_INDCi2030_1200_NDCp
1105,WITCH 5.0,EN_INDCi2030_1200f
1106,WITCH 5.0,EN_INDCi2030_1200f_NDCp
1107,WITCH 5.0,EN_INDCi2030_1400
1108,WITCH 5.0,EN_INDCi2030_1400_NDCp
1109,WITCH 5.0,EN_INDCi2030_1400f
1110,WITCH 5.0,EN_INDCi2030_1400f_NDCp
1131,WITCH 5.0,EN_INDCi2030_500f
1132,WITCH 5.0,EN_INDCi2030_600f
1133,WITCH 5.0,EN_INDCi2030_600f_NDCp
1134,WITCH 5.0,EN_INDCi2030_700f
1135,WITCH 5.0,EN_INDCi2030_700f_NDCp
1138,WITCH 5.0,EN_INDCi2030_800f
1139,WITCH 5.0,EN_INDCi2030_800f_NDCp
1142,WITCH 5.0,EN_INDCi2030_900f
1143,WITCH 5.0,EN_INDCi2030_900f_NDCp
1194,WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600
1196,WITCH-GLOBIOM 4.4,CD-LINKS_NDC2030i_1000
