,Model,Scenario
18,AIM/CGE 2.2,EN_INDCi2030_1200f
19,AIM/CGE 2.2,EN_INDCi2030_1400
20,AIM/CGE 2.2,EN_INDCi2030_1400f
29,AIM/CGE 2.2,EN_NPi2020_1000f
30,AIM/CGE 2.2,EN_NPi2020_1200
31,AIM/CGE 2.2,EN_NPi2020_1200f
32,AIM/CGE 2.2,EN_NPi2020_1400
33,AIM/CGE 2.2,EN_NPi2020_1400f
42,AIM/CGE 2.2,EN_NPi2020_600f
44,AIM/CGE 2.2,EN_NPi2020_700f
46,AIM/CGE 2.2,EN_NPi2020_800f
48,AIM/CGE 2.2,EN_NPi2020_900f
61,COFFEE 1.1,CO_2Deg2020
62,COFFEE 1.1,CO_2Deg2030
64,COFFEE 1.1,CO_Bridge
71,COFFEE 1.1,EN_INDCi2030_1200
83,COFFEE 1.1,EN_INDCi2030_400f
85,COFFEE 1.1,EN_INDCi2030_500f
88,COFFEE 1.1,EN_INDCi2030_600f
90,COFFEE 1.1,EN_INDCi2030_700f
92,COFFEE 1.1,EN_INDCi2030_800f
94,COFFEE 1.1,EN_INDCi2030_900f
99,COFFEE 1.1,EN_NPi2020_1200
113,COFFEE 1.1,EN_NPi2020_400f
114,COFFEE 1.1,EN_NPi2020_400f_lowBECCS
116,COFFEE 1.1,EN_NPi2020_500f
118,COFFEE 1.1,EN_NPi2020_600f
120,COFFEE 1.1,EN_NPi2020_700f
122,COFFEE 1.1,EN_NPi2020_800f
124,COFFEE 1.1,EN_NPi2020_900f
126,EPPA 6,2CNow_Gradual
128,EPPA 6,Paris2C_Gradual
129,EPPA 6,Paris2C_OptTax
162,GCAM 5.3,R_MAC_75_n0
163,GCAM 5.3,R_MAC_75_n8
164,GCAM 5.3,R_MAC_80_n0
165,GCAM 5.3,R_MAC_80_n8
167,GCAM 5.3,R_MAC_85_n8
169,GCAM 5.3,R_MAC_90_n8
171,GCAM 5.3,R_MAC_95_n8
185,GEM-E3_V2021,EN_INDCi2030_1000f
186,GEM-E3_V2021,EN_INDCi2030_1000f_COV
187,GEM-E3_V2021,EN_INDCi2030_1000f_COV_NDCp
188,GEM-E3_V2021,EN_INDCi2030_1000f_NDCp
189,GEM-E3_V2021,EN_INDCi2030_1400
190,GEM-E3_V2021,EN_INDCi2030_1400f
205,GEM-E3_V2021,EN_NPi2020_1000f
206,GEM-E3_V2021,EN_NPi2020_1000f_COV
208,GEM-E3_V2021,EN_NPi2020_1400f
219,GEM-E3_V2021,EN_NPi2020_800f
230,IMAGE 3.0,EN_INDCi2030_1000f
232,IMAGE 3.0,EN_INDCi2030_1200f
234,IMAGE 3.0,EN_INDCi2030_1400f
243,IMAGE 3.0,EN_NPi2020_1400
244,IMAGE 3.0,EN_NPi2020_1400f
255,IMAGE 3.0.1,ADVANCE_2030_Med2C
260,IMAGE 3.0.1,CD-LINKS_INDC2030i_1600
286,IMAGE 3.0.1,SSP1-26
313,IMAGE 3.0.2,EMF33_Med2C_nofuel
320,IMAGE 3.0.2,EMF33_tax_hi_full
332,IMAGE 3.2,SSP1_SPA1_26I_D
333,IMAGE 3.2,SSP1_SPA1_26I_LI
335,IMAGE 3.2,SSP1_SPA1_26I_RE
341,IMAGE 3.2,SSP2_SPA0_26I_D
349,IMAGE 3.2,SSP2_SPA2_26I_D
351,IMAGE 3.2,SSP2_SPA2_26I_LIRE
352,IMAGE 3.2,SSP2_SPA2_26I_RE
364,MERGE-ETL 6.0,DAC2_66
366,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C
367,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C
368,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C
369,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C
370,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C
382,MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster
386,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100
387,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full
388,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio
390,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel
396,MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full
400,MESSAGE-GLOBIOM 1.0,SSP1-26
405,MESSAGE-GLOBIOM 1.0,SSP2-26
410,MESSAGE-GLOBIOM 1.0,SSP3-34
413,MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600
415,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000
417,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000
418,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600
426,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f
427,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV
428,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV_NDCp
429,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_NDCp
434,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f
435,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV
436,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV_NDCp
437,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_NDCp
438,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400
439,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV
440,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV_NDCp
441,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_NDCp
442,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f
443,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV
444,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV_NDCp
445,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_NDCp
447,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV
448,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600_COV_NDCp
486,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV
487,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp
488,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f
489,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV
490,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp
491,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp
492,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f
493,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV
494,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV_NDCp
495,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_NDCp
496,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f
497,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV
498,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV_NDCp
499,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_NDCp
502,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV
503,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV_NDCp
515,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f
516,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_COV
517,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR10p
520,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR3p
521,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR4p
522,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200
523,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200_COV
524,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f
525,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f_COV
526,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400
527,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400_COV
528,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f
529,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f_COV
530,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600
531,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600_COV
533,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f_COV
565,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV
566,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p
573,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f
574,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV
577,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f
