2020,2030,2040,2050,2060,2070,2080,2090,2100,Agg_Category
52561.23314400691,39070.2650272553,25755.10589103786,19421.65602357748,14142.84141859588,8991.90059287664,6829.80035048293,5147.17203178005,4376.218164080892,C1234
58811.281371733465,41593.743290414335,27616.06150046723,20406.272359777013,14358.588550086,8465.819037793368,5752.753416720298,3536.053185827641,2324.7582204147943,C1234
57975.03050614159,53469.31672951015,28614.38486100332,14360.759167360116,7973.8405019579295,6968.176880109412,8124.639539634503,8769.360234441201,8149.258078135929,C1234
57248.8973734312,33492.364982974366,19284.335353697163,14788.429143703896,8373.63998612419,7273.32060650704,8426.203854772477,9048.990902196294,7896.921067380048,C1234
57304.72828332141,31253.752624492183,13704.529491100771,263.645741289223,-1698.499467001564,-1402.2973266892916,-1319.5969434814824,-1135.782806651364,-1308.6838751547696,C1234
57139.71450539473,40976.7711189129,27450.79805808044,15419.9888360993,11187.768850862903,9496.54073087997,8539.70372883022,7758.058970508918,7005.358708387734,C1234
59085.0774470792,55841.250294853045,33144.59561981519,25494.17408641357,13954.463482260073,4512.234588624473,1708.3276666405034,1920.9507785396409,2039.521550949092,C1234
59085.0774470792,55854.22508581735,33556.32552834863,26379.202357031583,15067.526774526694,7817.409086137836,8091.590109503946,8270.540171304467,8380.588869243744,C1234
59062.10223862874,55881.32168287843,36112.50407906768,30370.514644861567,20861.523334844267,9591.57689497077,1775.0179945475645,1953.9335648004624,2084.2695420455307,C1234
59063.92894624159,55860.78860035129,37496.78869684925,32165.542733662085,24562.14860225084,12098.078493837063,8140.670264468902,8326.60541235719,8443.584782279999,C1234
59060.98449147985,55858.12145153597,39715.43063587073,34513.16864733066,27583.49193464406,16165.466970529,6528.760402453234,1956.010036281304,2116.744395376352,C1234
59076.038407950255,55846.53951565907,32276.937823724533,17274.217975495063,6893.139734466496,1404.347119581943,1705.334395115327,1896.7111974778363,2008.875681817526,C1234
59085.0774470792,55841.250294853045,32297.405513372218,22296.62690744764,10380.09635524759,1951.00639865478,1708.632349079887,1908.9048068159807,2023.7434034024736,C1234
59056.4401515568,37452.77835379294,32614.94350786992,25093.68306329153,14162.758297056564,7795.910348282383,8074.8720321669425,8252.809042513252,8359.90963144736,C1234
59062.10223862874,40738.77790406664,36756.81532160472,29979.31910118359,21927.636215067363,10804.27591299639,3043.292727031746,-2025.1082817726444,-2374.7878214231205,C1234
59063.92894624159,40258.21487079968,36267.26473179679,29407.75133695521,20862.61138110419,10058.425467790745,8094.614627889763,8278.440346071711,8392.518999513319,C1234
59060.98449147985,42855.01782641177,38921.06364710774,32524.28906497625,25800.357051893847,14977.848843840318,6035.009302861642,937.3657534577264,701.3451260647956,C1234
59063.92894624159,43453.60787058088,39577.38025820164,33306.65474834363,26740.445255849805,16434.56343745547,8117.376265404567,8312.571944665075,8433.422719442337,C1234
59060.98449147985,44445.128363795,40536.94062164586,34453.56063764701,28154.69980895712,18700.91540942429,8728.075536946253,3800.973858891936,3825.1308808978224,C1234
59063.92894624159,33716.85340220809,22258.134358733165,11386.431399332583,2607.701903691309,-2444.809932042676,-2828.172848061396,-2604.3432091890577,-2462.6752413561644,C1234
59056.4401515568,34037.12467471893,25323.589629574788,15165.281377025529,5319.803643124003,-1139.035555307577,-2810.797585947169,-2560.3511016472685,-2419.418032185725,C1234
59056.227150292,34861.59256152992,27785.48822030974,18836.632553733587,8034.51670770977,726.9792271358542,-2839.2419864641847,-2546.4426171292457,-2399.3886081267374,C1234
59085.0774470792,33708.37063438801,18182.133176456897,7297.716550121292,7412.656823773433,7732.512330398295,7979.753159834589,8146.633674084712,8241.088876951835,C1234
59056.227150292,35910.69546619116,30041.78206637684,22034.188028553508,10614.277098808348,2619.9661704123414,-2291.1097704734666,-2553.375035758628,-2392.6321542381747,C1234
59058.441808588,33731.49028427357,23253.41191687857,12704.078624330494,7412.160504809791,7747.176647748441,7999.856478712878,8169.6239577170945,8270.157460248447,C1234
59056.227150292,37135.04385746551,32025.69208034924,24371.79509827624,13244.907521988423,4543.330386115897,-1380.474667971409,-2567.3589829784287,-2384.614914257185,C1234
59058.441808588,34496.11636366837,27002.526172389906,17583.525650163574,7385.076256398199,7751.618178397077,8016.061150514727,8190.209597178296,8298.479531759765,C1234
59063.71594497679,38310.66975285448,33646.91468264948,26336.517723731013,16069.839794216194,6594.67447034233,-13.09763339465676,-2603.7918046976506,-2389.077516921555,C1234
59058.441808588,35907.07984575732,30039.565845796675,22029.06860558637,10607.904299647049,7773.002409784033,8041.652055747417,8213.975246531376,8322.17903077669,C1234
59063.71594497679,39565.08443509045,35279.80702868306,28237.40101791312,18859.112579496803,8631.728857243335,1469.0129658012715,-2615.755984836004,-2377.979662501324,C1234
58463.47645158087,32892.508662345484,13937.404500297374,8449.108155705024,2699.654113979036,-25.95187540769224,-924.622593482282,-799.1466126713642,-711.6190681811706,C1234
58447.179817631615,34821.966374805,25283.4302160088,21961.326010043653,17804.670433355965,12551.963708963673,6021.221359872446,-941.1858294097958,-834.8838252981292,C1234
53683.65889534012,46773.20364251529,26266.372685313832,11627.07028996956,1730.7660730787816,-4125.749265644166,-7118.870577910489,-8344.580763892085,-8562.569174774382,C1234
53391.694927934106,39376.73514301999,20727.03958788151,8356.960498361443,1436.4058476657344,-1624.3551231691642,-2286.12445827522,-1376.3303970219358,27.5304417566166,C1234
53294.19530375769,23568.849566099816,3621.166508062715,-3202.4716364957244,-3739.44455295578,-2923.033635255142,-1712.3237045919782,87.86600538149719,1663.6806571626942,C1234
53437.1705664253,32400.55698152621,11686.187181236566,4350.990932739329,2857.9689700958447,2529.073069951661,2247.1347276642514,2493.676965468881,2637.164678060944,C1234
53353.18966526649,21513.62603162061,5898.8839638700965,3031.6538207169024,2732.964676439254,2501.336234325048,2243.8002680727723,2497.7838377918606,2647.351498534217,C1234
53876.57304293799,46790.82213499847,38575.90496341462,29009.630298832988,17865.74380160065,5389.0349787319,-3232.5618204003204,-7704.399669446999,-8367.603972336,C1234
53876.572947706,51242.78074952117,38350.39652293065,28222.94820165868,17381.77233945282,5131.85958046933,-3754.07433680842,-7795.246994018048,-8555.561942917651,C1234
54259.70160860499,38882.1124595662,36741.79477216221,25888.38200021943,18120.115863560408,9727.58580631844,364.812546176129,-5751.363973927471,-6497.362011063311,C1234
54100.329839164544,51987.11254337894,37869.52768890532,26592.19550151181,15840.71702989868,9926.58941875097,9172.02352811621,8639.15516392521,8082.4982024112605,C1234
53569.09992983454,48500.09673600576,37422.17155616932,26455.92472620081,15771.89976057368,10413.68704538397,9843.46395801321,9290.441062643207,8819.73276892626,C1234
54126.63325771767,52076.80970692108,40613.94860708264,32341.00344245006,22187.00485219583,14577.28688421,9291.33811927064,8698.88850021498,8116.2046363521795,C1234
53321.8179090088,51054.19413439701,33992.60301101451,22859.27525510406,10658.21363874302,-512.4901401965695,-6198.186670977599,-10512.879468991176,-14862.865776786355,C1234
53701.767829704906,50716.996204545605,11180.487879664568,9352.071464795728,8908.495052706445,8262.02594111466,7430.294120311251,6949.390095117481,6554.540837505944,C1234
53321.8179090088,51054.19413439701,36028.84100374951,24436.04640171006,13076.63226399102,1411.0579577384294,-6065.334788376601,-10431.10400502818,-13688.211656952357,C1234
53701.767829704906,50716.22147849107,17397.849989732567,9782.21567975273,9220.382872566444,8625.411063933661,7800.634786625252,7273.294443978481,6905.054618775944,C1234
53557.23606945048,48468.842316577226,20675.25830283008,12049.250611754467,10856.35936648142,10237.36110016846,9441.534791085787,8911.311828694179,8573.314970817379,C1234
53876.572947706,50977.43193773117,37808.14651700165,27239.70935541267,16196.57847339982,3930.79887099433,-4794.44387162442,-8888.620042567049,-10009.312127017649,C1234
54035.53441182435,51187.0381748738,23191.670631881385,12728.498914359374,9622.059565239835,9050.50028480382,8183.031503100709,7637.53853335378,7290.227632343329,C1234
53876.57304293799,50972.09820906647,39355.645530133625,30303.46662994699,18812.45260019165,5878.170921045899,-4236.614297763321,-8471.113049047999,-9372.889680472004,C1234
53675.13219121371,50700.00187739519,27744.43759661803,16655.233624000903,10363.571344247694,8931.289061070436,8066.75480178018,7516.809223805264,7112.320788633817,C1234
53856.21873736543,50995.45783811431,40907.2566767259,33580.61052400771,21229.811714168867,8108.07870229804,-3244.765137341761,-8280.745799796401,-9065.43996514068,C1234
54026.90784427755,51172.6438475306,32275.35973403477,20812.026958361315,11715.107667435035,9126.70685294442,8324.904975954109,7814.7488362245795,7370.66624598273,C1234
53856.21873736543,50995.45783811431,41862.2969507499,35538.712404220714,23657.85114804687,10770.17280771604,-1349.6259697097605,-8050.294248307399,-8842.25502949968,C1234
54063.24027321574,46227.069088378,38416.6789101924,27869.62364944461,16684.65484106322,9841.61487172189,9111.31423532983,8524.056782000709,8016.60684538026,C1234
54101.221088380655,49212.76419925848,43474.03410020392,35033.9412503903,21681.514167032747,11843.855096010378,9473.61730435682,8857.7599557702,8319.17556168802,C1234
54031.316654085735,26430.064207820724,17425.237076418627,9813.739614849375,9104.299083346636,8437.34377618202,7684.59136485603,7182.90885907078,6722.27433646433,C1234
54031.316654085735,26663.998577962724,18581.940666693627,10219.766156067371,9523.201444613636,8815.15957773102,8104.85567335603,7575.2591101197795,7126.92342023833,C1234
53295.5885150995,43182.28744309915,34733.79472283087,23999.8022890764,11857.78941353816,675.5736286777095,-5748.4653045431005,-10175.095229023002,-14542.235728774996,C1234
54274.03783453469,40723.925661482186,32016.055033281493,22237.702892066594,10302.994142477162,2960.4277445426155,874.0677769616522,-4244.31226331226,-4309.299854491498,C1234
54051.75435303577,30418.638255604623,20827.272359215887,10841.050984800237,9120.857529108556,8404.36213535232,7689.92288985735,7207.07704264484,6770.549337548569,C1234
53321.8179090088,44157.20332445301,36355.00977186951,25601.19096170906,14431.08539020802,2452.9200089654305,-5569.257335836601,-10111.68680885618,-13228.242950905356,C1234
54022.69008653893,34961.6017055353,24424.68416885859,14192.399099294917,9605.777350224836,8935.600659775619,8098.37746597211,7608.722331898581,7180.13130175073,C1234
53876.57304293799,46318.34967985847,38124.04087117462,28465.707657013994,17112.55282517965,4485.460190074899,-4165.02963414332,-8661.054820890002,-9352.570736091,C1234
53912.4496140264,38415.49275123077,27637.475623558563,17870.301654064893,9659.379495399193,8921.95584319164,8077.117276797678,7610.996975645294,7282.073828108248,C1234
53857.83244371349,47297.79758083699,40095.14153237552,30887.18130944237,19347.415482098007,6112.06721824514,-3616.495278307538,-8187.027635028439,-9165.73379589762,C1234
53921.35446193013,41260.48093118111,30796.55864910516,20903.55884973353,10688.528201218478,8977.438673464576,8188.393092755487,7755.574504383596,7290.559523944045,C1234
53856.21873736543,48482.94640306931,42034.4549409449,33541.208141896714,21263.714983328868,8258.17765956404,-2783.631063373761,-7943.6614172444015,-8771.86234717368,C1234
54065.06496904214,44665.74181952716,35386.333975661124,24318.52406182441,13824.35578869728,9471.34172805397,8805.85813913361,8252.77382563641,7749.924423869859,C1234
53856.21873736543,49707.35320475032,43515.2742967619,35371.05133535871,22872.56355312687,10491.90790674804,-1208.0688531577591,-7761.286528501399,-8631.592482801681,C1234
52421.241393624055,46881.00482303066,37599.87025808923,31319.803334935896,26287.86235495444,22025.46020571738,18493.15702437007,16261.89909083614,14574.004042518987,C1234
55039.674283960354,55126.221864840605,20152.997461285988,17385.061215755173,13220.514057185435,10302.14739653402,9399.23636229411,8779.656374553579,8199.84472672473,C1234
55148.77806993719,55092.544179049866,44013.75171478289,33215.36156059518,24085.89720031404,17908.889259853382,14403.063082606668,11864.93018948311,11822.462345475871,C1234
54939.28122943675,54740.8675553386,34182.87769687283,31105.51445344993,27853.582186210217,19623.0575778945,17463.48131133591,14956.398407670578,12899.33568141193,C1234
51902.88086016582,31453.80826552076,21923.3634844195,12887.74866202197,7722.86141154502,3025.81244784417,-1693.19548493505,-6842.307856357352,-12172.75551154412,C1234
57990.16909365412,42449.65100931304,29348.8149491517,21174.98624822584,14789.42478736914,12198.90522433674,9438.06842846098,7782.197429288639,6772.688427297199,C1234
56596.28809604392,44265.40022391144,30134.27440406186,18882.32448425523,10421.23503116358,6003.201919754989,6298.318408834851,6776.22292693249,7379.505585422699,C1234
56627.476975326055,60190.15652340594,34602.02340626012,17532.61832016214,6335.281158303541,572.6956339343006,-3584.61158287538,-3680.0627878221103,178.52091346301063,C1234
56612.89271762045,32704.99660778054,17327.75677622115,1348.820403978611,-624.8173242196214,-943.6307940644402,-964.6044418986193,-385.2988227417685,777.2602308561294,C1234
56636.62905279189,38106.8144432127,19315.08079797835,7288.53933359226,1822.61893013726,296.22690524540906,-938.77198849777,-584.9141604019995,-197.35295754927137,C1234
56171.72480947647,12615.47031671853,13034.21626923389,12985.81250322983,12632.202899839427,12444.06234555733,12200.82822455042,12197.52165965819,12061.97639245565,C1234
56171.72345947648,26130.27299175267,13017.64520771202,12982.18917896692,12636.26995730749,12444.69206677106,12195.02883134516,12184.89913386155,12062.95145351364,C1234
56198.36333796767,20581.17296338168,4343.074618335881,4141.283607574741,3718.586590211321,3512.38951450895,3307.8094444554595,3262.7172736815496,3134.180410104801,C1234
56198.35851796768,33105.31192342829,12920.97136494575,12959.79953296731,12614.50209184177,12439.44662562808,12192.07946838205,12170.518360184158,12051.47018525653,C1234
56198.36042796767,28680.33160344323,4311.79270498557,4131.865008655381,3711.9372871804894,3519.527684910009,3309.62985550525,3251.023300407721,3122.4450510307897,C1234
56198.35837796767,37444.84929747561,21150.63056138608,12959.434686302273,12614.824988745218,12449.84682617986,12202.94229268619,12167.50929244318,12047.84157014878,C1234
56198.35901796767,33874.24636632947,14345.15342175164,4141.91366341468,3712.043665855321,3520.4092314900104,3312.4385026501704,3244.2629421058405,3088.7521676362903,C1234
56171.72260947647,40328.89178906591,26596.73928545897,12936.48169701416,12632.82959905626,12474.46282280664,12228.718621195429,12177.18738146788,12052.86816973608,C1234
56198.35854796767,37360.56956627527,20955.8666842691,4149.310708954011,3716.7196709652494,3523.5320040240604,3316.61812097612,3241.0856739163,3075.7823484027904,C1234
56171.72258947647,42347.2354489894,30547.919794768142,18926.20397495717,12632.717736816008,12481.16344879744,12243.18008876943,12181.733018039178,12044.48439252741,C1234
56198.35838796767,39824.10041911539,25638.86769821563,11462.6505397999,3722.2496857477695,3521.897786328369,3317.670587567199,3245.9496115841703,3066.97118261768,C1234
56171.72227947648,43872.50075721066,33900.2464923878,23357.62149785916,12619.384137661027,12486.9859773683,12258.0106419503,12192.36376707465,12041.85512961594,C1234
56198.35825796767,41643.94521409162,29161.23334402547,16890.11443349351,3734.14424579926,3524.6037815129607,3325.3423015794306,3256.321487743869,3061.59478707706,C1234
56189.318878838734,45052.32252880152,36358.243948193776,26741.87002121348,17332.7521435133,12479.85502328454,12260.06254947824,12193.91574378597,12034.46629799888,C1234
56189.31920883873,43075.62901950299,32189.7710643047,21080.2218576831,9466.71221891938,3540.096150158079,3335.30405012921,3260.07417208216,3062.05069985903,C1234
56198.35791796768,46007.36259345718,38307.76509036278,29489.595039993288,21113.77297572185,12481.447332585922,12269.604049529633,12209.73324093133,12044.27064584949,C1234
56174.05197110353,44232.29361517668,34661.48041569222,24401.851391842218,14083.8746138405,3572.6884506442,3357.99516318172,3276.997209088079,3086.74779957338,C1234
56198.35788796767,46790.49794272708,39848.11368174864,31870.366815463058,24159.66606370883,16391.057559785,12277.98399135764,12224.740622730978,12055.70949479418,C1234
56176.99642586527,45171.330965440895,36612.68351160317,27087.84901014078,17815.34833305097,8289.56937734324,3369.095315490909,3281.9108836002106,3092.69410912526,C1234
