2020,2030,2040,2050,2060,2070,2080,2090,2100,Cluster
55785.572642992585,60519.31113918272,62454.81986201816,61801.085561226704,61155.95805806606,58700.02274385724,56348.03890585058,54135.19531113871,51577.88582026464,2
59702.63474244259,66691.97583088234,69153.19496468687,67188.18481269854,64537.76285776974,61994.6450706952,60720.79205770223,60037.44754240085,59100.40780766461,2
57834.62054171558,53251.92487836522,56685.951562654576,58833.95674659911,61827.48313317426,65186.11305667674,68220.4173828422,72169.96822404557,75038.30508294687,2
57323.899244574175,61977.64781635537,65876.6456399706,67372.68305507647,68167.91431128618,69061.46583406831,70285.6822800067,71952.79723864562,73435.89012000483,2
59232.99184055899,67077.22082829002,73367.0606875434,76705.01098611635,80148.78869936394,84344.7510259392,88748.74240060073,92749.36488739443,95974.4323381152,2
58758.81770600232,64622.31708638269,68710.65827588797,69519.62716380325,71957.48272907073,75577.6951128285,78015.70952680674,78679.59079325064,78828.12975204391,2
58250.58772571669,68673.98942183144,79244.90472474138,89323.33592833918,98565.40652481964,107209.78943105972,115629.2116366785,124465.94549337856,133411.6218016326,2
54368.837135699,58672.24040034942,62874.14399461736,67534.50826149718,71492.3861813535,76432.04372688755,77916.07501175304,81703.74891928978,84503.12180321926,2
54151.422083203885,56963.0354659046,56978.57022834356,55381.90566320789,58178.07305732667,61105.22832057375,59874.47501358856,58557.48118056217,56641.98782560256,2
54108.41831159743,52565.77592678382,52774.24320993044,51841.02885415203,52400.46448600966,55134.45169290908,54360.49187825452,52673.97069797938,52538.77433310801,2
54182.88318886816,52535.37127550171,53964.71829866192,52990.83605048572,56193.53210664284,58511.206932514,58722.37282183772,56450.54375319465,55037.43177380482,2
53067.66866407474,47166.24811484834,48586.54156213025,47086.73093120654,49030.00773712472,50730.71066973072,50810.43852486202,49659.62386203737,48952.364446731466,2
54151.422083203885,56883.2990347646,56864.09830836356,55234.42165970789,58016.41115267667,60938.83483539375,59702.60770743856,58379.43558402217,56456.67882955255,2
55286.61483804078,55847.19186048843,60214.210056589385,64728.19364293632,68444.80168337746,72226.03600208674,74977.5739448274,76797.84936740198,78829.26720517408,2
57035.73422967687,63914.743762720616,70769.69287913459,78100.52271208994,84028.65284252774,88968.47345830919,92855.31572103855,95638.64011299776,96960.722345427,2
61773.42573549937,75044.41220917649,84536.5324591455,91489.8049252293,98614.6477111318,105376.35228557236,111275.99959407534,116176.15597099536,123289.82769706768,2
58600.67928261142,68884.83822815843,75673.89259283098,78798.33287023283,80926.66098024024,80616.47488468321,75325.66333757764,70487.79746018755,67233.24462981753,2
58211.63027894607,64203.032256885046,67292.6398493283,70807.83911244587,73733.13849379246,76660.85555293878,78214.13794498351,78854.86560250734,79187.71365245072,2
56636.46379767259,60234.64124128454,62189.09164177269,63180.16546029554,65859.51496511874,67544.7105326304,68624.7278259595,68133.73774628925,67048.05673274177,2
56363.33906424905,65648.23321055846,72320.50806173809,78302.31200532126,83946.0024038217,89165.30018155543,92903.04422171068,95478.56256614432,97411.8206718807,2
52190.15336396018,56460.00286779471,58736.46225713982,58844.87800466092,61051.80988451484,64460.7522182014,66517.01394418962,68233.06269830605,69150.94611076538,2
52145.39285757224,51227.45136149984,52488.96851223876,50880.41924936414,51285.29172967842,52752.37135418181,53014.22497028412,52682.45392250496,51562.67714151235,2
57075.03554546158,63484.987017829946,68219.57595941999,70850.38802370858,74733.72208036306,79636.18821360677,83193.95191840801,86961.36793659333,90623.67162434684,2
57496.12467404616,57102.8829505961,55576.91151591072,55440.84428366112,54642.88655433504,56163.86419098,57061.59125451812,57986.39658346205,60037.34532952222,2
53303.77760808413,54105.93542927611,52500.060382900665,51975.084687040704,51281.749655069725,52266.85269865854,53675.89196554524,56241.67308257432,58756.9417537348,2
53867.01815494274,52498.24780385074,51049.68478361826,49047.61548677734,49065.64504390732,50394.41269783312,51592.25951114402,53743.30204107556,55930.68952876327,2
57391.17395130617,60957.75114676226,62220.992638655895,64293.75154875598,66939.20325985606,70542.52548607768,74413.58861073712,78332.00777854724,81073.34794689012,2
53520.57098066478,57504.59634558849,58510.47542589336,59938.69468428189,61902.45799283686,64804.4335288897,67767.38014422757,70710.83728109235,72330.38158128715,2
58873.24912446727,66264.4933865766,71222.36995832578,75562.67646215994,78246.66720809374,82389.0973069132,86957.14115758653,90718.67924589172,96436.602244059,2
59315.88742737557,61502.04943049362,63963.20579090088,68852.87712211537,73644.37052689762,79598.43700459294,86168.4138536065,90088.85506778356,93391.09952659802,2
59324.04438606557,56232.29831315651,56107.73253857457,57140.36457071912,59448.19156654426,63177.37619637674,65546.2757091822,66791.27073274559,68196.14953358688,2
58174.369282355576,54633.35112684524,53091.69957006458,56062.28338505912,58860.22295776426,61479.727301316736,61962.3964981022,63248.24735697558,66002.80491733688,2
58934.603766665576,60609.45183601361,61425.48400436814,67335.65537011981,72694.87572293132,77634.5496383735,81003.32355365704,83941.98980704002,87684.10513637967,2
58873.24912446727,66264.4933865766,71222.36995832578,75562.67646215994,78246.66720809374,82389.0973069132,86957.14115758653,90718.67924589172,96436.602244059,2
60499.29538614727,67635.74212537661,72267.23632736578,76208.86412355995,78731.03526463374,82912.2233130832,86466.46340052654,90809.41456549174,96567.190763019,2
57560.97551088878,60650.56483106272,61710.87490830374,62484.50051329028,64456.64376282418,67449.88237671297,69997.6031416201,73828.18090317558,78610.53140471013,2
57219.98622251617,57650.950947122255,60199.6781217259,61692.21622375598,64497.56989520606,68547.83951051768,72782.24921325712,76117.11271035724,79942.39702916011,2
57669.43134219337,62690.60500662244,66661.66357469893,68809.31756410778,71190.9936511766,73399.54646039286,76944.55187460447,80204.3411982436,84025.33186203439,2
59359.49829686554,66996.87784115424,72202.83460548439,76035.66346274094,78729.37272840504,82501.25847666159,86640.71737200514,90873.40024187714,96806.0401478584,2
60277.79340168727,67667.3547487266,72164.49366330578,76036.10461566994,78759.38240525374,82440.5336127132,85765.65066798654,89560.35151582175,94725.817734939,2
60277.935864507264,67601.86802539662,72082.88647996577,75847.36239270994,78663.06112764374,82385.0265656032,85748.81859451653,89600.77703905174,94681.698126559,2
58954.95607374727,64023.99686915661,67428.90512970579,70345.85548300995,72423.44045066374,75825.8598665332,78727.06624810654,82187.68273681174,86494.205645589,2
60276.32648038727,67599.2753547666,71985.26226670577,75861.67664679994,78694.94080428373,82455.6762734332,85755.80286261655,89652.52303444174,94666.988061649,2
59073.98194685727,64250.09527178661,67691.68570831578,70476.67107180993,72443.09021829373,75791.4606480932,78817.95080615654,82265.36125482174,86677.74571926899,2
60528.64620642727,68331.9935054566,73409.03743762578,77789.09287220995,81084.86070095374,85357.3482946032,89053.41823443654,92931.54474575171,97687.850981489,2
60527.65742903728,68410.82412735661,73370.02446881578,77784.00724554995,81072.25316160373,85328.7053294232,88929.26894529654,92817.37970742171,97764.773787059,2
60323.21908410727,67670.6764077166,72253.47698760578,75945.76588182994,78783.10190779374,82464.8598508132,85773.43509106654,89611.15279463174,94732.427977799,2
60481.79875915727,68342.10212238661,73127.85393498579,77476.39410318993,80706.81086428375,84921.89023019321,88516.94819510654,92365.77055715174,97206.670474389,2
59013.182769507264,64268.95228008661,67731.86916158578,70687.23937172994,72968.44184977374,76312.1537505332,79222.38463326654,82665.34650831173,87029.503192239,2
59939.46763792858,66651.02743229394,69763.15371538518,71550.60634109144,70160.12925588874,69495.009474315,64645.73041289114,58838.35534251504,57832.94130188701,2
60952.04255915554,68793.28425198424,73390.99398129438,77285.15231244094,78942.63977536504,82500.7988177116,86333.34676410514,90373.76367647716,96270.7185901684,2
64878.73847434553,74205.76521014005,77984.81309842088,83738.45165462724,83820.00696447914,86585.99938524471,90015.19541005974,95011.31161214763,101867.916319069,2
58878.45560945395,63648.2917668691,69898.35392129405,69656.3709121804,67548.81569276932,66903.80387404755,65874.20983429764,57216.64389654062,55116.335270181895,2
59753.24468541738,67514.74991142782,71070.1563145988,70798.56901959897,68017.54901410348,66772.23040427762,65528.8194712657,62516.75491878822,61820.10406437312,2
62311.65566757289,75396.39078773835,83556.81289342798,85316.92066263664,76114.43124819254,65405.672778917855,51141.00165287396,41386.51685247207,32565.00623774647,2
64046.71987595124,81137.26616022114,95571.10542238316,111126.14136994502,120001.7002855571,131790.18532790776,137098.33523416184,139324.23508591612,138936.87822265513,2
60660.440891545535,69034.46546390424,73763.30551022438,76839.20040795094,79151.19419351504,82867.4683997216,86470.32846661514,90721.49724053717,96424.6845559184,2
56082.00777959727,66027.0976669628,71912.28314491328,77274.85413445403,77147.29155849994,78665.5366007853,81101.38827329334,79282.38210012965,74062.8738418034,2
56040.90752605727,50243.642035419136,49480.21659052214,49187.74695119994,51166.30831738548,54261.640744713295,54640.24494399142,48466.10214602488,45315.24698247564,2
56040.91814605727,50267.007472260535,48239.82479946523,46247.62823260846,48929.71950281578,53162.444953146965,53140.39055355269,46877.99572051476,40959.33239460306,2
56070.31014367726,70619.9900055916,77982.40762013888,84261.29865896625,83610.89182545494,85738.2592371589,89259.33654315743,90928.47969093735,92410.3888306917,2
56099.38377414728,65164.1176049838,68504.70454901068,69059.63923033363,67777.11761388004,66968.2553849664,64744.34458286234,60998.96517996974,56821.895909276805,2
56079.87491626727,75237.66981532724,96941.90169922888,112774.62796750283,118739.06418507925,118288.08192483442,109293.78160050194,99156.17459723254,89335.76141898801,2
51549.96874122816,56039.17583406744,59438.51159987498,59588.69725287134,57362.4216017735,54123.880238374695,50488.60593045386,46938.10802911948,43017.55751263122,2
54773.31203255537,60521.70459406434,66066.73330674044,72386.5367939109,78319.48202964605,83831.2088616502,93239.8463937753,101080.6006970578,106261.80600759356,2
54907.80051601763,60831.59051125433,66583.50348146343,72780.63048123826,78460.89156524675,84132.8572709099,93345.78315493595,101019.60997741055,106483.15402153652,2
54902.77578527988,60820.39736984596,66580.56511751798,72775.8621262751,78448.14736759452,84122.1093191265,93354.91502113716,101013.5440625264,106458.53647237874,2
52043.4073161992,54932.36581447944,56376.8512663658,58388.55945860858,58432.46988486386,59483.94145529688,62027.06324042152,65955.89484736834,69884.25561819912,2
55263.98935750769,61803.268704659655,68141.6435080666,75136.44411935173,81032.78867228134,86591.71351289436,94634.68792464797,102435.46652518642,108427.55032864447,2
55252.73802575865,61801.53594552943,68136.23025062856,75132.55983548227,81028.59478348345,86598.05557921232,94644.71667064856,102433.44155505244,108442.033596945,2
54902.79397497988,60820.41454166596,66580.58038887798,72775.8712020251,78448.15302981951,84122.1143697215,93354.91502113716,101013.5403925264,106458.53647237874,2
55263.98935750769,61803.268704659655,68141.6435080666,75136.44411935173,81032.78867228134,86591.71351289436,94634.68792464797,102435.46652518642,108427.55032864447,2
53760.62242297116,59378.22091708606,64849.58131221518,72074.14359681465,78239.10293075717,82862.93055639252,90736.97491738907,101562.57051132292,109598.51204475827,2
51936.03863195905,55010.28805172344,57833.38509363665,60232.753871581306,63088.75847324236,64016.48183806232,63385.246993777786,64046.4835030342,63902.11194749711,2
53566.911677660966,58711.492171035046,63242.56334038468,66616.98228437445,68471.82117055514,68652.1624815884,67672.65331867649,67955.67903947367,66796.37196379987,2
53677.94389158306,59907.28042029724,66232.18621018982,72575.58502173636,78440.58992985995,84083.1585444776,93209.29500726996,101295.29699679057,106898.4882835962,2
52431.30371937026,54363.67332016678,59221.2676816598,65117.41962025045,70169.39300149292,75724.3303620587,83941.54798658732,93251.436737119,101281.88530448836,2
