,Model,Scenario
8,AIM/CGE 2.1,CD-LINKS_INDC2030i_1600
12,AIM/CGE 2.1,CD-LINKS_NPi2020_1600
66,COFFEE 1.1,CO_GPP
202,GEM-E3_V2021,EN_INDCi2100_NDCp
257,IMAGE 3.0.1,ADVANCE_INDC
275,IMAGE 3.0.1,EMF30_D_CO2-Only
295,IMAGE 3.0.1,SSP3-34
700,POLES ENGAGE,EN_INDCi2100_COV_NDCp
701,POLES ENGAGE,EN_INDCi2100_NDCp
718,POLES ENGAGE,EN_NPi2020_3000
719,POLES ENGAGE,EN_NPi2020_3000f
741,POLES GECO2019,CO_GPP
873,REMIND-MAgPIE 1.7-3.0,CO_GPP
912,REMIND-MAgPIE 1.7-3.0,PEP_netzero
1096,WITCH 5.0,CO_GPP
1144,WITCH 5.0,EN_INDCi2100
1145,WITCH 5.0,EN_INDCi2100_NDCp
1154,WITCH 5.0,EN_NPi2020_1800
1155,WITCH 5.0,EN_NPi2020_1800f
1156,WITCH 5.0,EN_NPi2020_2000
1157,WITCH 5.0,EN_NPi2020_2000f
