,Model,Scenario
289,IMAGE 3.0.1,SSP1-Baseline
297,IMAGE 3.0.1,SSP3-60
324,IMAGE 3.2,SSP1-baseline
744,POLES GECO2019,CO_NDCplus
874,REMIND-MAgPIE 1.7-3.0,CO_NDCplus
908,REMIND-MAgPIE 1.7-3.0,PEP_NDC
